name,security,ticker_symbol
AES,AES Corp,AES
AT&T,AT&T Inc,T
AbbVie,AbbVie,ABBV
Abbott Laboratories,Abbott Laboratories,ABT
Accenture,Accenture plc,ACN
Activision Blizzard,Activision Blizzard,ATVI
Adobe Systems,Adobe Systems Inc,ADBE
Advance Auto Parts,Advance Auto Parts,AAP
Aetna,Aetna Inc,AET
Affiliated Managers Group,Affiliated Managers Group Inc,AMG
Aflac,AFLAC Inc,AFL
Agilent Technologies,Agilent Technologies Inc,A
Air Products & Chemicals,Air Products & Chemicals Inc,APD
Akamai Technologies,Akamai Technologies Inc,AKAM
Alaska Air Group,Alaska Air Group Inc,ALK
Albemarle,Albemarle Corp,ALB
Alexion Pharmaceuticals,Alexion Pharmaceuticals,ALXN
Alliance Data Systems,Alliance Data Systems,ADS
Alliant Energy,Alliant Energy Corp,LNT
Altria Group,Altria Group Inc,MO
Amazon.com,Amazon.com Inc,AMZN
American Airlines Group,American Airlines Group,AAL
Ameriprise Financial,Ameriprise Financial,AMP
Ametek,AMETEK Inc,AME
Amgen,Amgen Inc,AMGN
Amphenol,Amphenol Corp,APH
Anadarko Petroleum,Anadarko Petroleum Corp,APC
Analog Devices,"Analog Devices, Inc.",ADI
Anthem,Anthem Inc.,ANTM
Aon,Aon plc,AON
Applied Materials,Applied Materials Inc,AMAT
Arconic,Arconic Inc,ARNC
Ares Management,Waste Management Inc.,WM
Arthur J. Gallagher,Arthur J. Gallagher & Co.,AJG
Assurant,Assurant Inc,AIZ
AutoNation,AutoNation Inc,AN
AutoZone,AutoZone Inc,AZO
Autodesk,Autodesk Inc,ADSK
Automatic Data Processing,Automatic Data Processing,ADP
AvalonBay Communities,"AvalonBay Communities, Inc.",AVB
Avery Dennison,Avery Dennison Corp,AVY
Baker Hughes,Baker Hughes Inc,BHI
Ball,Ball Corp,BLL
Bank of New York Mellon,The Bank of New York Mellon Corp.,BK
Baxter International,Baxter International Inc.,BAX
Becton Dickinson,Becton Dickinson,BDX
Bed Bath & Beyond,Bed Bath & Beyond,BBBY
Berkshire Hathaway,Berkshire Hathaway,BRK.B
BlackRock,BlackRock,BLK
Block,Block H&R,HRB
BorgWarner,BorgWarner,BWA
Boston Properties,Boston Properties,BXP
Boston Scientific,Boston Scientific,BSX
Bristol-Myers Squibb,Bristol-Myers Squibb,BMY
Broadcom,Broadcom,AVGO
CBRE Group,CBRE Group,CBG
CBS,CBS Corp.,CBS
CF Industries Holdings,CF Industries Holdings Inc,CF
CMS Energy,CMS Energy,CMS
CSX,CSX Corp.,CSX
CVS Health,CVS Health,CVS
Cabot Oil & Gas,Cabot Oil & Gas,COG
Campbell Soup,Campbell Soup,CPB
Capital One Financial,Capital One Financial,COF
CarMax,Carmax Inc,KMX
Cardinal Health,Cardinal Health Inc.,CAH
Caterpillar,Caterpillar Inc.,CAT
CenterPoint Energy,CenterPoint Energy,CNP
CenturyLink,CenturyLink Inc,CTL
Cerner,Cerner,CERN
Charter Communications,Charter Communications,CHTR
Chesapeake Energy,Chesapeake Energy,CHK
Chipotle Mexican Grill,Chipotle Mexican Grill,CMG
Church & Dwight,Church & Dwight,CHD
Cimarex Energy,Cimarex Energy,XEC
Cincinnati Financial,Cincinnati Financial,CINF
Cisco Systems,Cisco Systems,CSCO
Citigroup,Citigroup Inc.,C
Citizens Financial Group,Citizens Financial Group,CFG
Citrix Systems,Citrix Systems,CTXS
Colgate-Palmolive,Colgate-Palmolive,CL
Concho Resources,Concho Resources,CXO
ConocoPhillips,ConocoPhillips,COP
Consolidated Edison,Consolidated Edison,ED
Constellation Brands,Constellation Brands,STZ
Crown Castle International,Crown Castle International Corp.,CCI
Crown Resorts,Wynn Resorts Ltd,WYNN
D.R. Horton,D. R. Horton,DHI
DR Horton,D. R. Horton,DHI
DTE Energy,DTE Energy Co.,DTE
DaVita,DaVita Inc.,DVA
Darden Restaurants,Darden Restaurants,DRI
Deere & Company,Deere & Co.,DE
Delphi Automotive,Delphi Automotive,DLPH
Delta Air Lines,Delta Air Lines,DAL
Dentsply Sirona,Dentsply Sirona,XRAY
Devon Energy,Devon Energy Corp.,DVN
Digital Realty Trust,Digital Realty Trust,DLR
Discover Financial Services,Discover Financial Services,DFS
Discovery Communications,Discovery Communications-A,DISCA
Dollar General,Dollar General,DG
Dollar Tree,Dollar Tree,DLTR
Dominion Resources,Dominion Resources,D
Dow Chemical,Dow Chemical,DOW
Dr Pepper Snapple Group,Dr Pepper Snapple Group,DPS
Duke Energy,Duke Energy,DUK
EI du Pont de Nemours,Du Pont (E.I.),DD
EOG Resources,EOG Resources,EOG
Eastman Chemical,Eastman Chemical,EMN
Edwards Lifesciences,Edwards Lifesciences,EW
Electronic Arts,Electronic Arts,EA
Emerson Electric,Emerson Electric Company,EMR
Envision Healthcare,Envision Healthcare Corp,EVHC
Equifax,Equifax Inc.,EFX
Equinix,Equinix,EQIX
Equity Residential,Equity Residential,EQR
Essex Property Trust,"Essex Property Trust, Inc.",ESS
Est̩e Lauder,Estee Lauder Cos.,EL
Eversource Energy,Eversource Energy,ES
Express Scripts,Express Scripts,ESRX
Extra Space Storage,Extra Space Storage,EXR
F5 Networks,F5 Networks,FFIV
Facebook,Facebook,FB
Fastenal,Fastenal Co,FAST
Fidelity National Information,Fidelity National Information Services,FIS
Fidelity National Information (FIS),Fidelity National Information Services,FIS
Fifth Third Bancorp,Fifth Third Bancorp,FITB
Fiserv,Fiserv Inc,FISV
Foot Locker,Foot Locker Inc,FL
Ford Motor,Ford Motor,F
Fortive,Fortive Corp,FTV
Fortune Brands Home & Security,Fortune Brands Home & Security,FBHS
Franklin Resources,Franklin Resources,BEN
Freeport-McMoRan,Freeport-McMoran Cp & Gld,FCX
Freeport-mcmoran,Freeport-McMoran Cp & Gld,FCX
Frontier Communications,Frontier Communications,FTR
General Dynamics,General Dynamics,GD
General Electric,General Electric,GE
General Growth Properties,General Growth Properties Inc.,GGP
General Mills,General Mills,GIS
General Motors,General Motors,GM
Genuine Parts,Genuine Parts,GPC
Gilead Sciences,Gilead Sciences,GILD
Global Payments,Global Payments Inc,GPN
Goldman Sachs Group,Goldman Sachs Group,GS
HCA Holdings,HCA Holdings,HCA
HCP,HCP Inc.,HCP
HP,HP Inc.,HPQ
Halliburton,Halliburton Co.,HAL
Hanesbrands,Hanesbrands Inc,HBI
Harley-Davidson,Harley-Davidson,HOG
Hartford Financial Services,Hartford Financial Svc.Gp.,HIG
Hasbro,Hasbro Inc.,HAS
Henry Schein,Henry Schein,HSIC
Hewlett Packard Enterprise,Hewlett Packard Enterprise,HPE
Hologic,Hologic,HOLX
Home Depot,Home Depot,HD
Hormel Foods,Hormel Foods Corp.,HRL
Host Hotels & Resorts,Host Hotels & Resorts,HST
Huntington Bancshares,Huntington Bancshares,HBAN
IDEXX Laboratories,IDEXX Laboratories,IDXX
Illinois Tool Works,Illinois Tool Works,ITW
Illumina,Illumina Inc,ILMN
International Flavors & Fragrances,Intl Flavors & Fragrances,IFF
International Paper,International Paper,IP
Interpublic Group,Interpublic Group,IPG
Intuit,Intuit Inc.,INTU
